FECHA;HORA;TEMP;HUM;PNM;DD;FF;NOMBRE
5102023;0;19.1;56;1012.1;0;0;ORAN AERO
5102023;1;18.5;58;1011.7;270;9;ORAN AERO
5102023;2;17.1;63;1011.2;0;0;ORAN AERO
5102023;3;15.5;64;1010.6;270;9;ORAN AERO
5102023;4;14.8;70;1010.1;0;0;ORAN AERO
5102023;5;14.2;69;1009.7;320;15;ORAN AERO
5102023;6;13.7;72;1010.2;270;9;ORAN AERO
5102023;7;13.2;71;1010.5;320;9;ORAN AERO
5102023;8;14.2;66;1011.0;360;15;ORAN AERO
5102023;9;16.6;57;1011.0;360;15;ORAN AERO
5102023;10;20.1;45;1010.0;360;15;ORAN AERO
5102023;11;22.8;37;1008.9;360;9;ORAN AERO
5102023;12;24.2;31;1007.8;360;15;ORAN AERO
5102023;13;26.6;28;1005.9;320;15;ORAN AERO
5102023;14;26.8;27;1004.3;360;9;ORAN AERO
5102023;15;27.0;27;1001.9;360;15;ORAN AERO
5102023;16;28.0;24;1000.6;360;15;ORAN AERO
5102023;17;28.5;23;1000.2;360;4;ORAN AERO
5102023;18;28.0;24;1000.9;0;0;ORAN AERO
5102023;19;26.2;24;1001.5;0;0;ORAN AERO
5102023;20;23.4;34;1002.4;0;0;ORAN AERO
5102023;21;22.0;38;1002.8;0;0;ORAN AERO
5102023;22;20.2;46;1003.1;0;0;ORAN AERO
5102023;23;19.2;47;1003.3;230;4;ORAN AERO 
